run,lead,subset,n,rmse,mae,bias,r2,actual_mean,predicted_mean,actual_std,predicted_std,predicted_min,predicted_max,corr
glstm_sweep_20260907_114458,all,wet_gt_1,213684,13.941582025039382,10.250246035895605,1.712027966188444,-0.00020994207288316247,11.830313203085817,13.54234116927426,13.940118793116005,3.4056315832416315,2.126887798309326,28.22922706604004,0.15259185534327654
glstm_sweep_20260907_114458,all,heavy_gt_35,14492,39.97354653319899,36.43311908507985,-36.43311908507985,-4.927497544970494,51.274194885873015,14.841075800793163,16.418632800459527,3.6927643036655757,2.940498352050781,27.868438720703125,0.10469837963347493
glstm_sweep_20260907_114458,1,all,116622,10.817318835797526,8.231799177766037,5.16347909872808,-0.1380555877237224,4.407410271058054,9.570889369786133,10.139998547982739,6.162816738009525,2.00563907623291,28.22922706604004,0.4036345108131116
glstm_sweep_20260907_114458,1,dry_le_1,73949,8.687693742840224,7.275821283053226,7.275821283053226,-1391.143826030394,0.13293212312145034,7.408753406174676,0.23284260529106435,4.804777874384792,2.00563907623291,28.146656036376957,0.26889613900710085
glstm_sweep_20260907_114458,1,wet_gt_1,42673,13.74762346669682,9.888434739740063,1.5029538910168758,0.027656278741412743,11.814749444815792,13.317703335832666,13.941763831394631,6.453793337753985,2.126887798309326,28.22922706604004,0.2738800070515864
glstm_sweep_20260907_114458,1,heavy_gt_35,2894,37.406578772286046,33.60047854047524,-33.60047854047524,-4.187389714609254,51.28706069608845,17.686582155613216,16.423796335266896,6.256723922945222,2.940498352050781,27.868438720703125,0.18795260307606831
glstm_sweep_20260907_114458,2,all,116622,13.364341876859577,11.856015811396055,8.779217937728578,-0.7348693624978779,4.415427355926493,13.194645293655071,10.146451602036866,2.865154252678048,7.794777870178223,21.545242309570312,0.16560444196503266
glstm_sweep_20260907_114458,2,dry_le_1,73918,12.97405870519684,12.680325476856645,12.680325476856645,-3105.1605692669077,0.13286875047680877,12.813194227333454,0.23278977874773069,2.754599061290021,7.803839683532715,21.509950637817383,0.08301226265894965
glstm_sweep_20260907_114458,2,wet_gt_1,42704,14.01423217003683,10.429186431208814,2.026640495866727,-0.010482013603553497,11.828273154859374,13.854913650726102,13.941355903585903,2.932015409018253,7.794777870178223,21.545242309570312,0.13047529882675862
glstm_sweep_20260907_114458,2,heavy_gt_35,2896,39.869683801827264,36.34947275028703,-36.34947275028703,-4.893844114520553,51.27695828116401,14.927485530876982,16.422658756209945,3.089305329848734,8.522889137268066,21.351715087890625,0.10781605898142685
glstm_sweep_20260907_114458,3,all,116622,13.616489048272546,12.213433727533868,9.116713375606995,-0.7989858974685635,4.4219171856184465,13.538630561225443,10.151991878695256,1.919502047144886,9.562938690185549,20.154098510742188,0.11425998689306871
glstm_sweep_20260907_114458,3,dry_le_1,73873,13.391890308111394,13.258063950647786,13.258063950647786,-3310.286555021741,0.13283363668021356,13.390897587328,0.23272524733013944,1.8784365298961665,9.562938690185549,19.562620162963867,0.018549898422227783
glstm_sweep_20260907_114458,3,wet_gt_1,42749,13.996117033211481,10.408246039585743,1.9601953043073557,-0.007962238222722906,11.833727263297785,13.793922567605142,13.94072737484442,1.962425880716635,9.70375919342041,20.154098510742188,0.11232817885550402
glstm_sweep_20260907_114458,3,heavy_gt_35,2900,40.38172296851132,36.94607326671995,-36.94607326671995,-5.050708174699339,51.271329908699826,14.325256641979875,16.416544239045663,2.028653409074075,9.911880493164062,19.493017196655277,0.11931395313953988
